Vehicle_ID,Battery_Capacity_kWh,Charging_Time_hr,Range_km,Vehicle_Type,Charging_Station_Type,State_of_Charge
1307.0,49.0,error,290.0,2-Wheeler,,38.0
1308.0,61.0,,255.0,2-Wheeler,fast,
1309.0,unknown,9.29,171.0,CAR,,82.0
1310.0,29.0,,260.0,3-Wheeler,Slow,14.0
1311.0,,error,229.0,3-Wheeler,Moderate,55.0
,68.0,9.89,316.0,,,48.0
1313.0,41.0,2.59,N/A,3-Wheeler,Moderate,51.0
1314.0,34.0,3.87,370.0,,Fast,56.0
1315.0,30.0,1.42,N/A,2-Wheeler,,83.0
1316.0,78.0,error,311.0,CAR,Fast,89.0
1317.0,88.0,1.7,305.0,2-Wheeler,,44.0
1318.0,46.0,error,581.0,2-Wheeler,SLOW,21.0
1319.0,77.0,8.61,161.0,3-Wheeler,SLOW,25.0
1320.0,47.0,2.42,569.0,car,Fast,23.0
1321.0,84.0,1.39,,3-Wheeler,,33.0
1322.0,,1.02,594.0,car,Moderate,28.0
1323.0,95.0,8.92,500.0,,Fast,82.0
1324.0,82.0,3.71,144.0,car,fast,49.0
1325.0,20.0,8.48,351.0,Bus,Slow,78.0
1326.0,73.0,6.5,N/A,CAR,fast,36.0
1327.0,84.0,0.74,321.0,3-Wheeler,SLOW,38.0
1328.0,79.0,0.86,,,Moderate,57.0
1329.0,unknown,8.31,248.0,,,90.0
,47.0,2.13,171.0,2-Wheeler,Fast,
,30.0,8.42,545.0,,,25.0
1332.0,25.0,8.82,251.0,3-Wheeler,SLOW,83.0
1333.0,97.0,1.6,153.0,,,22.0
1334.0,47.0,8.65,551.0,3-Wheeler,SLOW,70.0
1335.0,68.0,2.33,323.0,Bus,fast,24.0
1336.0,unknown,0.84,117.0,2-Wheeler,,33.0
1337.0,98.0,8.08,248.0,2-Wheeler,SLOW,77.0
1338.0,35.0,8.91,326.0,CAR,Moderate,45.0
1339.0,25.0,4.84,116.0,,,99.0
1340.0,28.0,5.17,127.0,Car,Fast,92.0
1341.0,62.0,,325.0,CAR,Slow,81.0
1342.0,39.0,0.62,146.0,CAR,Slow,
1343.0,,8.18,238.0,car,Moderate,70.0
1344.0,60.0,9.43,407.0,Bus,Fast,52.0
1345.0,24.0,2.49,272.0,3-Wheeler,Fast,67.0
1346.0,91.0,,455.0,3-Wheeler,Moderate,
1347.0,85.0,4.58,152.0,Bus,fast,15.0
1348.0,92.0,3.49,200.0,car,fast,29.0
1349.0,53.0,3.36,223.0,,,
1350.0,38.0,6.83,392.0,Bus,Moderate,56.0
1351.0,53.0,3.25,413.0,Car,fast,25.0
1352.0,89.0,3.39,406.0,CAR,Fast,
,59.0,2.23,,Car,,99.0
1354.0,21.0,6.93,159.0,3-Wheeler,Fast,26.0
1355.0,93.0,3.81,284.0,CAR,Moderate,70.0
1356.0,49.0,,429.0,car,Moderate,68.0
1357.0,72.0,2.16,233.0,Bus,Fast,28.0
1358.0,unknown,5.93,539.0,car,,10.0
1359.0,74.0,9.16,219.0,CAR,Slow,44.0
1360.0,28.0,6.79,163.0,3-Wheeler,fast,53.0
1361.0,54.0,6.54,167.0,Bus,,78.0
1362.0,83.0,2.14,171.0,3-Wheeler,,89.0
1363.0,34.0,2.81,496.0,,,11.0
1364.0,,4.08,389.0,3-Wheeler,fast,92.0
1365.0,34.0,1.27,176.0,Bus,fast,
1366.0,32.0,1.09,588.0,,Slow,83.0
1367.0,99.0,3.75,101.0,Car,,
1368.0,42.0,6.89,110.0,car,fast,27.0
1369.0,71.0,7.26,428.0,2-Wheeler,Slow,58.0
1370.0,29.0,1.16,,car,Moderate,39.0
1371.0,24.0,5.29,556.0,2-Wheeler,fast,48.0
1372.0,50.0,,478.0,3-Wheeler,fast,37.0
,,,,3-Wheeler,Slow,80.0
1374.0,33.0,6.31,233.0,car,fast,69.0
1375.0,unknown,9.71,282.0,CAR,Fast,37.0
1376.0,21.0,7.38,219.0,Car,Slow,
1377.0,82.0,2.02,427.0,CAR,SLOW,40.0
1378.0,23.0,7.78,570.0,2-Wheeler,Moderate,74.0
1379.0,36.0,4.11,326.0,car,,59.0
1380.0,59.0,7.32,478.0,Bus,fast,73.0
1381.0,62.0,9.11,,CAR,Fast,53.0
1382.0,40.0,,512.0,3-Wheeler,Moderate,38.0
1383.0,91.0,,468.0,3-Wheeler,Fast,44.0
1384.0,86.0,1.45,338.0,CAR,Fast,72.0
1385.0,,1.35,,2-Wheeler,Moderate,14.0
1386.0,53.0,3.22,448.0,car,Fast,19.0
1387.0,47.0,9.09,591.0,2-Wheeler,Moderate,26.0
1388.0,26.0,7.03,437.0,,Slow,58.0
1389.0,25.0,7.51,596.0,2-Wheeler,Moderate,69.0
1390.0,20.0,4.35,576.0,2-Wheeler,Moderate,32.0
1391.0,58.0,5.02,362.0,3-Wheeler,Slow,17.0
1392.0,59.0,3.15,182.0,3-Wheeler,,20.0
1393.0,48.0,9.44,N/A,,Moderate,94.0
,44.0,7.91,551.0,Bus,Fast,33.0
1395.0,63.0,7.71,426.0,CAR,,64.0
1396.0,94.0,0.75,220.0,CAR,Fast,
1397.0,37.0,5.41,108.0,3-Wheeler,SLOW,33.0
1398.0,91.0,8.66,109.0,car,SLOW,47.0
1399.0,56.0,6.11,112.0,CAR,,22.0
1400.0,unknown,,449.0,,,57.0
1401.0,86.0,6.87,194.0,car,fast,68.0
1402.0,,1.18,216.0,car,Moderate,11.0
1403.0,93.0,9.63,191.0,,fast,65.0
1404.0,58.0,8.69,540.0,CAR,SLOW,54.0
1405.0,94.0,5.95,379.0,,SLOW,70.0
,41.0,2.89,,Car,Fast,99.0
1407.0,58.0,4.39,345.0,3-Wheeler,Fast,25.0
1408.0,49.0,8.14,366.0,3-Wheeler,fast,58.0
1409.0,71.0,8.98,558.0,,Slow,55.0
,81.0,9.85,142.0,Bus,,37.0
1411.0,,2.94,455.0,,SLOW,
1412.0,30.0,4.08,386.0,Car,SLOW,67.0
1413.0,82.0,error,126.0,,Moderate,98.0
1414.0,83.0,7.19,286.0,CAR,SLOW,89.0
1415.0,93.0,2.37,414.0,CAR,Slow,
1416.0,60.0,,114.0,3-Wheeler,Fast,17.0
1417.0,89.0,,488.0,,Slow,73.0
1418.0,28.0,3.7,212.0,car,Slow,88.0
1419.0,90.0,4.89,472.0,Car,,
1420.0,34.0,2.36,418.0,,SLOW,47.0
1421.0,28.0,9.95,,CAR,,
1422.0,26.0,7.62,161.0,,SLOW,60.0
1423.0,26.0,1.26,216.0,2-Wheeler,Fast,91.0
1424.0,76.0,,186.0,CAR,,
1425.0,73.0,4.09,571.0,,SLOW,25.0
,26.0,6.67,202.0,2-Wheeler,,
1427.0,64.0,3.23,349.0,Bus,Moderate,42.0
1428.0,95.0,3.86,411.0,CAR,Moderate,70.0
1429.0,30.0,5.84,130.0,car,Fast,62.0
1430.0,,8.12,492.0,2-Wheeler,SLOW,14.0
1431.0,31.0,1.01,482.0,Bus,fast,83.0
,96.0,2.46,264.0,car,,75.0
1433.0,70.0,,,car,,41.0
1434.0,unknown,8.18,458.0,Car,,57.0
1435.0,56.0,9.41,245.0,Car,fast,18.0
1436.0,26.0,8.58,291.0,CAR,fast,
1437.0,56.0,2.44,351.0,2-Wheeler,,91.0
1438.0,24.0,9.64,430.0,,,93.0
1439.0,77.0,,210.0,car,Slow,82.0
1440.0,unknown,6.18,368.0,Car,fast,32.0
1441.0,94.0,error,139.0,3-Wheeler,Moderate,69.0
1442.0,50.0,3.69,420.0,,fast,84.0
1443.0,57.0,1.57,104.0,,,
1444.0,44.0,6.89,321.0,CAR,SLOW,
,,2.76,231.0,Car,Fast,21.0
,86.0,error,,CAR,SLOW,21.0
1447.0,21.0,6.07,200.0,Car,,38.0
1448.0,76.0,3.22,304.0,Bus,fast,56.0
1449.0,,1.57,165.0,2-Wheeler,SLOW,97.0
1450.0,44.0,0.6,235.0,3-Wheeler,fast,38.0
1451.0,87.0,9.23,159.0,car,Fast,59.0
,99.0,3.76,,car,Slow,
1453.0,82.0,0.94,564.0,car,,14.0
1454.0,42.0,2.97,519.0,,,74.0
1455.0,45.0,5.5,N/A,,Moderate,
1456.0,96.0,1.54,109.0,Car,,87.0
1457.0,77.0,2.63,188.0,Bus,Fast,85.0
,61.0,3.78,336.0,2-Wheeler,,20.0
,96.0,4.56,347.0,Car,Fast,10.0
1460.0,62.0,9.09,158.0,Car,Fast,
1461.0,91.0,5.78,142.0,3-Wheeler,Fast,79.0
1462.0,60.0,8.72,532.0,car,Fast,
1463.0,26.0,3.91,528.0,3-Wheeler,fast,80.0
1464.0,21.0,6.82,538.0,,fast,46.0
1465.0,94.0,0.88,N/A,car,Fast,24.0
1466.0,79.0,5.18,,3-Wheeler,fast,29.0
1467.0,80.0,6.41,246.0,Bus,Moderate,
1468.0,55.0,9.9,309.0,3-Wheeler,Fast,20.0
1469.0,76.0,5.76,399.0,2-Wheeler,Moderate,47.0
1470.0,58.0,0.72,,car,Fast,88.0
1471.0,33.0,7.38,284.0,Bus,Fast,91.0
1472.0,65.0,1.55,304.0,car,,92.0
1473.0,46.0,8.33,176.0,car,,
1474.0,97.0,error,526.0,,,10.0
1475.0,79.0,9.41,150.0,Bus,fast,94.0
,,5.4,103.0,,Moderate,93.0
1477.0,23.0,9.83,389.0,,SLOW,49.0
1478.0,35.0,3.66,363.0,Bus,Slow,66.0
1479.0,23.0,3.55,332.0,3-Wheeler,Fast,75.0
,36.0,3.52,322.0,Bus,Moderate,74.0
1481.0,27.0,1.48,533.0,car,Fast,40.0
1482.0,76.0,,453.0,car,Slow,67.0
1483.0,72.0,2.09,294.0,2-Wheeler,Fast,51.0
1484.0,61.0,4.21,189.0,CAR,Moderate,12.0
1485.0,,6.58,373.0,,Slow,60.0
1486.0,42.0,3.7,,2-Wheeler,SLOW,22.0
1487.0,80.0,3.34,516.0,,Slow,50.0
1488.0,53.0,0.51,591.0,Bus,Slow,31.0
1489.0,58.0,9.58,588.0,car,,72.0
,97.0,9.48,159.0,2-Wheeler,,25.0
1491.0,92.0,6.52,303.0,,fast,
1492.0,77.0,5.66,264.0,2-Wheeler,Fast,60.0
,40.0,5.43,364.0,,Fast,15.0
1494.0,77.0,3.66,470.0,Bus,Fast,73.0
1495.0,47.0,7.12,369.0,3-Wheeler,,37.0
1496.0,26.0,3.95,,,SLOW,70.0
1497.0,70.0,5.71,554.0,Bus,Slow,83.0
1498.0,,4.91,123.0,2-Wheeler,,79.0
1499.0,33.0,4.93,215.0,,,43.0
1500.0,98.0,1.1,327.0,2-Wheeler,,45.0
1501.0,21.0,3.82,534.0,2-Wheeler,,15.0
1502.0,23.0,2.0,536.0,CAR,Fast,37.0
1503.0,42.0,2.17,N/A,3-Wheeler,fast,36.0
1504.0,unknown,9.69,365.0,Car,fast,62.0
1505.0,,,208.0,,Fast,54.0
1506.0,56.0,4.98,,car,Slow,40.0
1507.0,39.0,7.81,359.0,3-Wheeler,Fast,45.0
1508.0,96.0,8.84,,Car,Fast,13.0
1509.0,unknown,4.31,107.0,CAR,Moderate,71.0
1510.0,71.0,6.67,278.0,,,42.0
1511.0,59.0,5.02,567.0,2-Wheeler,fast,78.0
1512.0,,7.21,143.0,3-Wheeler,Moderate,40.0
1513.0,40.0,6.66,205.0,3-Wheeler,Moderate,74.0
1514.0,50.0,6.37,190.0,Bus,fast,67.0
1515.0,78.0,6.76,125.0,car,Moderate,
1516.0,98.0,0.59,198.0,3-Wheeler,Fast,10.0
1517.0,59.0,1.53,151.0,,SLOW,
1518.0,96.0,1.45,554.0,CAR,SLOW,30.0
1519.0,49.0,,481.0,3-Wheeler,fast,
1520.0,74.0,4.88,,car,Moderate,64.0
1521.0,,5.91,170.0,Bus,,26.0
1522.0,unknown,3.39,474.0,,,71.0
1523.0,39.0,8.43,N/A,car,SLOW,50.0
1524.0,,,451.0,car,Fast,55.0
1525.0,39.0,3.87,246.0,CAR,,22.0
1526.0,33.0,4.45,189.0,,SLOW,65.0
1527.0,72.0,4.38,538.0,Bus,fast,83.0
1528.0,44.0,8.49,518.0,CAR,SLOW,90.0
1529.0,,,172.0,car,Slow,50.0
1530.0,25.0,4.64,362.0,,,55.0
1531.0,34.0,5.36,305.0,car,Slow,28.0
1532.0,51.0,8.9,594.0,Bus,fast,21.0
1533.0,44.0,error,,Bus,,66.0
1534.0,67.0,6.79,172.0,Car,,36.0
1535.0,,9.29,427.0,,SLOW,17.0
1536.0,95.0,4.24,194.0,CAR,fast,97.0
1537.0,64.0,9.94,122.0,3-Wheeler,Moderate,18.0
1538.0,25.0,,121.0,Car,SLOW,15.0
1539.0,94.0,2.08,,,Slow,15.0
1540.0,88.0,1.13,140.0,Bus,Moderate,74.0
,,4.85,578.0,3-Wheeler,SLOW,22.0
1542.0,37.0,2.53,347.0,CAR,SLOW,32.0
1543.0,41.0,,516.0,,Slow,15.0
1544.0,20.0,0.68,178.0,2-Wheeler,,
1545.0,82.0,4.12,531.0,CAR,,21.0
1546.0,71.0,8.22,169.0,3-Wheeler,SLOW,55.0
1547.0,60.0,3.2,498.0,3-Wheeler,,30.0
1548.0,65.0,4.86,,3-Wheeler,Slow,98.0
1549.0,25.0,,329.0,2-Wheeler,,19.0
1550.0,42.0,8.72,142.0,Bus,SLOW,18.0
1551.0,34.0,5.92,544.0,,Fast,17.0
1552.0,46.0,4.61,166.0,CAR,fast,19.0
1553.0,40.0,5.04,589.0,3-Wheeler,,
1554.0,68.0,error,395.0,Car,,33.0
1555.0,66.0,0.99,152.0,2-Wheeler,Moderate,16.0
1556.0,39.0,,220.0,,,92.0
,,6.26,529.0,Car,Moderate,27.0
1558.0,73.0,3.47,407.0,CAR,Slow,53.0
1559.0,80.0,6.44,200.0,CAR,Fast,
1560.0,75.0,error,231.0,,Fast,73.0
1561.0,30.0,2.51,526.0,Car,SLOW,43.0
1562.0,69.0,5.89,481.0,2-Wheeler,,40.0
1563.0,55.0,5.8,174.0,Car,,88.0
1564.0,78.0,1.82,238.0,Bus,SLOW,78.0
1565.0,86.0,6.15,572.0,car,SLOW,43.0
1566.0,44.0,4.07,249.0,CAR,Fast,
1567.0,47.0,0.99,N/A,3-Wheeler,,31.0
1568.0,54.0,9.35,,car,Fast,95.0
1569.0,22.0,5.41,243.0,CAR,Slow,86.0
,26.0,4.33,181.0,CAR,Fast,66.0
1571.0,,5.33,587.0,,Slow,40.0
1572.0,,7.51,126.0,Bus,fast,71.0
1573.0,43.0,4.4,513.0,3-Wheeler,,24.0
1574.0,70.0,2.87,572.0,3-Wheeler,Slow,57.0
,67.0,2.93,309.0,,Moderate,38.0
1576.0,92.0,,,,Fast,88.0
1577.0,,3.93,198.0,,Slow,12.0
1578.0,77.0,3.35,377.0,CAR,,36.0
1579.0,36.0,7.43,206.0,CAR,Fast,38.0
1580.0,56.0,8.52,535.0,Car,Fast,
1581.0,,1.79,419.0,3-Wheeler,Moderate,52.0
1582.0,57.0,9.98,128.0,CAR,Fast,98.0
1583.0,83.0,1.05,,CAR,fast,43.0
1584.0,,7.07,335.0,CAR,Moderate,74.0
1585.0,51.0,5.03,346.0,2-Wheeler,,66.0
1586.0,22.0,error,392.0,,Moderate,71.0
,34.0,9.17,112.0,CAR,SLOW,75.0
1588.0,69.0,1.12,487.0,3-Wheeler,Moderate,40.0
,93.0,,,CAR,Fast,82.0
1590.0,24.0,6.11,428.0,Bus,Fast,60.0
1591.0,43.0,7.03,341.0,2-Wheeler,Slow,40.0
1592.0,23.0,4.03,555.0,CAR,,49.0
1593.0,74.0,1.03,487.0,,Moderate,72.0
1594.0,90.0,error,121.0,Bus,Slow,35.0
1595.0,51.0,9.18,359.0,,Fast,93.0
1596.0,27.0,6.02,582.0,,,52.0
1597.0,49.0,3.64,255.0,3-Wheeler,Moderate,39.0
1598.0,78.0,9.83,467.0,Car,,37.0
,68.0,8.01,,,fast,
1600.0,62.0,3.17,247.0,,Slow,71.0
1601.0,98.0,8.81,,Car,fast,
1602.0,74.0,4.92,567.0,car,Moderate,85.0
1603.0,30.0,6.7,594.0,Car,,70.0
1604.0,75.0,1.73,159.0,3-Wheeler,SLOW,53.0
1605.0,53.0,3.48,404.0,Bus,,82.0
1606.0,59.0,4.38,257.0,,,28.0
1607.0,62.0,8.47,N/A,3-Wheeler,Fast,91.0
,,1.85,,2-Wheeler,SLOW,71.0
1609.0,53.0,8.74,,,Fast,27.0
1610.0,31.0,8.41,238.0,car,SLOW,22.0
1611.0,52.0,8.66,564.0,,Moderate,15.0
1612.0,,3.78,339.0,3-Wheeler,Slow,14.0
1613.0,60.0,3.56,515.0,2-Wheeler,SLOW,27.0
1614.0,67.0,4.17,344.0,CAR,,81.0
1615.0,36.0,2.91,150.0,,,44.0
1616.0,98.0,0.85,573.0,CAR,,24.0
,51.0,5.19,244.0,CAR,,59.0
1618.0,96.0,2.51,304.0,CAR,Fast,52.0
1619.0,31.0,,110.0,,SLOW,29.0
,unknown,,235.0,CAR,fast,85.0
1621.0,55.0,2.48,N/A,3-Wheeler,,55.0
1622.0,25.0,5.08,212.0,2-Wheeler,fast,41.0
1623.0,87.0,4.18,322.0,car,Slow,48.0
,34.0,error,,Bus,Fast,73.0
1625.0,77.0,4.52,536.0,2-Wheeler,SLOW,17.0
1626.0,33.0,7.4,519.0,,,
1627.0,unknown,2.79,267.0,CAR,Slow,95.0
1628.0,41.0,2.44,576.0,,Slow,54.0
1629.0,,5.28,,CAR,Fast,72.0
1630.0,,4.34,333.0,2-Wheeler,,64.0
,63.0,5.5,399.0,3-Wheeler,,63.0
1632.0,45.0,7.14,107.0,2-Wheeler,Moderate,95.0
,unknown,,149.0,car,Slow,28.0
,49.0,9.86,527.0,Car,Slow,49.0
1635.0,82.0,,278.0,2-Wheeler,Moderate,41.0
1636.0,96.0,3.73,236.0,Car,Slow,54.0
1637.0,62.0,6.67,287.0,car,,10.0
,44.0,1.5,587.0,car,Moderate,90.0
1639.0,36.0,3.1,179.0,,Slow,21.0
1640.0,35.0,9.03,213.0,CAR,SLOW,82.0
1641.0,85.0,,459.0,3-Wheeler,SLOW,10.0
1642.0,97.0,2.34,555.0,,,
1643.0,66.0,2.16,352.0,CAR,Slow,60.0
1644.0,37.0,8.01,581.0,CAR,,60.0
1645.0,92.0,1.97,438.0,CAR,fast,74.0
1646.0,,1.02,560.0,CAR,Fast,96.0
1647.0,30.0,6.17,500.0,2-Wheeler,,20.0
1648.0,23.0,1.63,131.0,CAR,Moderate,36.0
1649.0,49.0,1.93,113.0,2-Wheeler,,
1650.0,,5.92,175.0,2-Wheeler,Moderate,72.0
1651.0,42.0,8.26,533.0,,Moderate,28.0
1652.0,59.0,8.7,N/A,Bus,SLOW,91.0
1653.0,96.0,2.54,149.0,,SLOW,40.0
1654.0,,6.28,169.0,Bus,,20.0
1655.0,26.0,2.44,231.0,Bus,,97.0
1656.0,29.0,3.31,257.0,3-Wheeler,SLOW,
1657.0,64.0,3.26,218.0,Car,SLOW,18.0
1658.0,81.0,4.78,223.0,,Slow,96.0
1659.0,unknown,8.18,N/A,CAR,Fast,16.0
1660.0,51.0,error,,2-Wheeler,Moderate,
1661.0,33.0,8.15,342.0,,Fast,
1662.0,84.0,,283.0,,Fast,64.0
1663.0,33.0,7.53,270.0,3-Wheeler,Moderate,
1664.0,23.0,9.12,524.0,CAR,SLOW,50.0
1665.0,41.0,1.93,N/A,,,19.0
1666.0,69.0,3.0,453.0,2-Wheeler,Slow,53.0
1667.0,23.0,error,346.0,Bus,Fast,47.0
1668.0,unknown,6.8,161.0,2-Wheeler,Fast,36.0
1669.0,unknown,4.24,177.0,2-Wheeler,SLOW,70.0
1670.0,86.0,4.76,178.0,car,SLOW,64.0
1671.0,45.0,7.36,N/A,Car,Slow,10.0
1672.0,89.0,7.39,128.0,3-Wheeler,Slow,67.0
1673.0,66.0,6.48,108.0,Bus,SLOW,75.0
,54.0,7.86,,Bus,,90.0
1675.0,21.0,0.85,552.0,3-Wheeler,,47.0
1676.0,95.0,,571.0,Car,Fast,51.0
1677.0,34.0,4.83,468.0,2-Wheeler,Slow,
1678.0,56.0,4.79,,CAR,fast,11.0
1679.0,64.0,error,282.0,car,fast,14.0
1680.0,86.0,5.07,352.0,2-Wheeler,,17.0
1681.0,,2.19,500.0,,,88.0
1682.0,95.0,3.64,N/A,car,Slow,75.0
,36.0,6.97,,,fast,12.0
1684.0,35.0,8.9,353.0,,Fast,61.0
1685.0,unknown,2.58,453.0,2-Wheeler,Fast,52.0
1686.0,99.0,1.13,,,fast,
1687.0,92.0,3.54,260.0,,Fast,67.0
,62.0,9.2,141.0,2-Wheeler,Fast,67.0
1689.0,89.0,2.56,319.0,car,,
1690.0,37.0,5.35,152.0,3-Wheeler,Slow,75.0
1691.0,30.0,8.6,514.0,2-Wheeler,Moderate,23.0
1692.0,33.0,4.48,,Bus,Moderate,26.0
1693.0,unknown,4.52,255.0,Bus,Slow,43.0
1694.0,83.0,3.75,280.0,CAR,SLOW,39.0
1695.0,75.0,8.95,500.0,Car,Moderate,88.0
1696.0,84.0,5.59,206.0,car,,
1697.0,unknown,1.18,433.0,3-Wheeler,Fast,89.0
1698.0,34.0,7.08,149.0,CAR,,59.0
1699.0,59.0,4.0,331.0,,,98.0
1700.0,20.0,5.03,334.0,3-Wheeler,SLOW,56.0
1701.0,86.0,5.16,288.0,CAR,Fast,63.0
,81.0,4.64,N/A,2-Wheeler,fast,56.0
1703.0,86.0,error,148.0,CAR,,92.0
1704.0,49.0,3.06,306.0,Bus,,
1705.0,73.0,9.3,340.0,Bus,,71.0
1706.0,26.0,2.66,390.0,,,19.0
1707.0,91.0,1.88,387.0,Car,,34.0
1708.0,unknown,7.74,200.0,car,Slow,71.0
1709.0,72.0,,404.0,CAR,,81.0
,58.0,7.26,160.0,Car,,35.0
1711.0,84.0,1.46,310.0,Bus,Fast,56.0
1712.0,45.0,3.16,145.0,,SLOW,
1713.0,65.0,0.66,547.0,car,fast,54.0
,27.0,7.0,265.0,Car,,40.0
1715.0,75.0,6.66,324.0,,,87.0
1716.0,20.0,8.54,197.0,CAR,Fast,72.0
1717.0,unknown,3.86,381.0,car,fast,22.0
1718.0,97.0,8.99,468.0,Car,Moderate,24.0
1719.0,56.0,4.47,213.0,CAR,SLOW,18.0
1720.0,,,452.0,2-Wheeler,Fast,39.0
1721.0,91.0,4.48,N/A,,SLOW,25.0
1722.0,76.0,1.06,330.0,2-Wheeler,Slow,64.0
1723.0,74.0,6.15,246.0,3-Wheeler,Moderate,
1724.0,56.0,2.13,474.0,CAR,Fast,95.0
1725.0,54.0,7.87,341.0,Car,Slow,32.0
1726.0,53.0,1.97,N/A,3-Wheeler,Fast,73.0
1727.0,unknown,4.04,116.0,Bus,,17.0
1728.0,79.0,,252.0,2-Wheeler,,87.0
1729.0,42.0,7.69,278.0,Bus,,77.0
1730.0,87.0,9.99,,CAR,,16.0
1731.0,56.0,1.58,495.0,,,70.0
1732.0,34.0,4.49,410.0,Bus,Slow,73.0
1733.0,63.0,5.48,,,SLOW,31.0
1734.0,54.0,8.46,333.0,3-Wheeler,fast,30.0
1735.0,72.0,3.72,589.0,2-Wheeler,,52.0
1736.0,21.0,1.04,181.0,2-Wheeler,Fast,29.0
,30.0,1.95,378.0,car,Moderate,70.0
1738.0,unknown,7.66,546.0,Bus,fast,35.0
1739.0,22.0,5.78,368.0,Bus,,23.0
1740.0,29.0,6.83,550.0,3-Wheeler,fast,34.0
1741.0,,9.17,320.0,Car,SLOW,71.0
1742.0,75.0,8.68,404.0,Bus,fast,54.0
1743.0,77.0,7.97,447.0,2-Wheeler,SLOW,18.0
1744.0,77.0,9.57,,car,,44.0
1745.0,94.0,4.63,475.0,Bus,Fast,29.0
1746.0,24.0,2.78,554.0,Car,Fast,91.0
1747.0,41.0,6.54,240.0,car,Slow,33.0
1748.0,67.0,1.31,234.0,,,95.0
1749.0,94.0,6.07,123.0,car,Slow,
1750.0,99.0,7.63,559.0,,Slow,
,23.0,8.57,405.0,Car,,17.0
1752.0,62.0,6.47,520.0,3-Wheeler,Slow,52.0
1753.0,20.0,4.46,147.0,2-Wheeler,Moderate,68.0
1754.0,49.0,error,333.0,Car,,72.0
1755.0,37.0,1.26,N/A,2-Wheeler,,25.0
1756.0,77.0,7.09,542.0,,,26.0
1757.0,56.0,,448.0,Bus,,14.0
1758.0,,9.06,456.0,,Slow,99.0
,27.0,error,190.0,car,,92.0
1760.0,25.0,7.01,419.0,car,Fast,55.0
1761.0,26.0,1.04,599.0,CAR,fast,
1762.0,49.0,5.5,N/A,Bus,Fast,48.0
1763.0,37.0,1.36,463.0,,SLOW,19.0
1764.0,58.0,9.85,451.0,Bus,,59.0
1765.0,21.0,1.88,221.0,car,Moderate,
1766.0,unknown,8.5,,car,Moderate,23.0
1767.0,60.0,5.93,292.0,,Slow,55.0
1768.0,55.0,,270.0,Bus,fast,71.0
1769.0,84.0,5.31,323.0,,Moderate,39.0
1770.0,,3.29,497.0,car,fast,78.0
1771.0,68.0,,N/A,2-Wheeler,Fast,80.0
1772.0,77.0,8.67,417.0,CAR,,28.0
,60.0,,597.0,car,,39.0
1774.0,20.0,9.97,,CAR,Fast,34.0
,72.0,2.82,543.0,,SLOW,89.0
1776.0,70.0,0.94,378.0,,fast,20.0
1777.0,37.0,7.86,N/A,Bus,Fast,17.0
1778.0,84.0,1.76,101.0,Bus,Fast,19.0
1779.0,65.0,4.68,434.0,Car,Moderate,78.0
1780.0,31.0,4.47,191.0,2-Wheeler,SLOW,46.0
,,8.84,,3-Wheeler,SLOW,67.0
1782.0,32.0,6.37,189.0,3-Wheeler,Moderate,52.0
,84.0,8.81,N/A,CAR,SLOW,64.0
1784.0,,,416.0,3-Wheeler,,64.0
1785.0,67.0,6.8,470.0,3-Wheeler,fast,24.0
1786.0,29.0,error,528.0,CAR,,51.0
1787.0,49.0,2.21,215.0,CAR,SLOW,28.0
1788.0,42.0,error,179.0,,,38.0
1789.0,unknown,,343.0,CAR,SLOW,34.0
1790.0,45.0,2.99,235.0,car,,77.0
,59.0,8.55,585.0,CAR,SLOW,62.0
1792.0,44.0,0.55,170.0,3-Wheeler,Moderate,87.0
1793.0,28.0,4.95,552.0,car,,53.0
1794.0,,0.74,320.0,3-Wheeler,Slow,85.0
1795.0,33.0,2.63,395.0,,Slow,
1796.0,,3.12,295.0,Car,Slow,90.0
1797.0,22.0,7.04,219.0,2-Wheeler,Fast,64.0
1798.0,72.0,8.12,459.0,Car,SLOW,87.0
1799.0,63.0,2.07,551.0,CAR,,54.0
1800.0,unknown,7.34,459.0,car,Fast,30.0
1801.0,87.0,9.97,415.0,Car,,17.0
1802.0,unknown,8.69,564.0,Bus,,43.0
1803.0,95.0,0.75,,,Fast,43.0
1804.0,82.0,1.34,246.0,2-Wheeler,Fast,44.0
1805.0,86.0,error,597.0,2-Wheeler,SLOW,72.0
1806.0,,1.85,483.0,Car,,53.0
1807.0,84.0,3.54,509.0,Bus,SLOW,37.0
1808.0,52.0,2.41,309.0,2-Wheeler,,56.0
,70.0,7.69,466.0,CAR,fast,11.0
1810.0,,1.58,511.0,car,fast,79.0
1811.0,73.0,8.6,496.0,Car,,80.0
1812.0,83.0,8.76,205.0,3-Wheeler,SLOW,35.0
1813.0,55.0,2.1,341.0,,Slow,90.0
1814.0,,3.88,106.0,car,fast,38.0
1815.0,88.0,9.52,274.0,,SLOW,52.0
,59.0,6.83,118.0,car,Slow,76.0
1817.0,63.0,,494.0,Bus,Moderate,84.0
1818.0,35.0,1.1,119.0,,,28.0
1819.0,80.0,5.5,462.0,Bus,fast,93.0
1820.0,65.0,7.51,484.0,CAR,,81.0
1821.0,50.0,,N/A,CAR,SLOW,78.0
1822.0,,6.42,453.0,Car,Moderate,43.0
1823.0,,9.42,488.0,Car,fast,60.0
